Relative_Compactness,Surface_Area,Wall_Area,Roof_Area,Overall_Height,Orientation,Glazing_Area,Glazing_Area_Distribution,Heating_Load,Cooling_Load,id
0.98,514.5,294.0,110.25,7.0,2,0.0,0,15.55,21.33,0
0.98,514.5,294.0,110.25,7.0,3,0.0,0,15.55,21.33,1
0.98,514.5,294.0,110.25,7.0,5,0.0,0,15.55,21.33,2
0.9,563.5,318.5,122.5,7.0,2,0.0,0,20.84,28.28,3
0.9,563.5,318.5,122.5,7.0,3,0.0,0,21.46,25.38,4
0.86,588.0,294.0,147.0,7.0,2,0.0,0,19.5,27.3,5
0.86,588.0,294.0,147.0,7.0,3,0.0,0,19.95,21.97,6
0.86,588.0,294.0,147.0,7.0,5,0.0,0,18.31,27.87,7
0.82,612.5,318.5,147.0,7.0,2,0.0,0,17.05,23.77,8
0.82,612.5,318.5,147.0,7.0,3,0.0,0,17.41,21.46,9
0.82,612.5,318.5,147.0,7.0,4,0.0,0,16.95,21.16,10
0.82,612.5,318.5,147.0,7.0,5,0.0,0,15.98,24.93,11
0.79,637.0,343.0,147.0,7.0,2,0.0,0,28.52,37.73,12
0.79,637.0,343.0,147.0,7.0,3,0.0,0,29.9,31.27,13
0.79,637.0,343.0,147.0,7.0,4,0.0,0,29.63,30.93,14
0.79,637.0,343.0,147.0,7.0,5,0.0,0,28.75,39.44,15
0.76,661.5,416.5,122.5,7.0,2,0.0,0,24.77,29.79,16
0.76,661.5,416.5,122.5,7.0,3,0.0,0,23.93,29.68,17
0.76,661.5,416.5,122.5,7.0,4,0.0,0,24.77,29.79,18
0.74,686.0,245.0,220.5,3.5,2,0.0,0,6.07,10.9,19
0.74,686.0,245.0,220.5,3.5,3,0.0,0,6.05,11.19,20
0.74,686.0,245.0,220.5,3.5,4,0.0,0,6.01,10.94,21
0.74,686.0,245.0,220.5,3.5,5,0.0,0,6.04,11.17,22
0.71,710.5,269.5,220.5,3.5,3,0.0,0,6.4,11.72,23
0.69,735.0,294.0,220.5,3.5,2,0.0,0,6.85,11.74,24
0.69,735.0,294.0,220.5,3.5,4,0.0,0,6.77,11.73,25
0.69,735.0,294.0,220.5,3.5,5,0.0,0,6.81,11.93,26
