id,Relative_Compactness,Surface_Area,Wall_Area,Roof_Area,Overall_Height,Orientation,Glazing_Area,Glazing_Area_Distribution
0,0.62,808.5,367.5,220.5,350.0,2,0.4,3
1,0.66,759.5,318.5,220.5,350.0,2,0.25,1
2,0.98,514.5,294.0,110.25,700.0,2,0.4,3
3,0.79,637.0,343.0,147.0,700.0,4,0.4,4
4,0.64,784.0,343.0,220.5,350.0,3,0.25,4
5,0.82,612.5,318.5,147.0,700.0,2,0.1,4
6,0.98,514.5,294.0,110.25,700.0,3,0.1,2
7,0.98,514.5,294.0,110.25,700.0,2,0.25,2
8,0.64,784.0,343.0,220.5,350.0,2,0.4,1
9,0.9,563.5,318.5,122.5,700.0,2,0.1,3
10,0.64,784.0,343.0,220.5,350.0,5,0.4,3
11,0.76,661.5,416.5,122.5,700.0,2,0.1,4
12,0.9,563.5,318.5,122.5,700.0,5,0.1,4
13,0.74,686.0,245.0,220.5,350.0,3,0.1,5
14,0.64,784.0,343.0,220.5,350.0,2,0.4,5
15,0.76,661.5,416.5,122.5,700.0,2,0.25,2
16,0.76,661.5,416.5,122.5,700.0,3,0.25,5
17,0.74,686.0,245.0,220.5,350.0,3,0.25,4
18,0.71,710.5,269.5,220.5,350.0,2,0.4,2
19,0.76,661.5,416.5,122.5,700.0,3,0.1,4
20,0.82,612.5,318.5,147.0,700.0,2,0.4,3
21,0.79,637.0,343.0,147.0,700.0,2,0.4,1
22,0.66,759.5,318.5,220.5,350.0,4,0.1,1
23,0.79,637.0,343.0,147.0,700.0,2,0.1,4
24,0.64,784.0,343.0,220.5,350.0,3,0.1,5
25,0.79,637.0,343.0,147.0,700.0,3,0.1,4
26,0.9,563.5,318.5,122.5,700.0,3,0.4,2
27,0.82,612.5,318.5,147.0,700.0,5,0.4,3
28,0.64,784.0,343.0,220.5,350.0,2,0.25,1
29,0.62,808.5,367.5,220.5,350.0,5,0.25,3
30,0.74,686.0,245.0,220.5,350.0,2,0.1,2
31,0.74,686.0,245.0,220.5,350.0,5,0.25,2
32,0.64,784.0,343.0,220.5,350.0,3,0.25,3
33,0.82,612.5,318.5,147.0,700.0,2,0.25,1
34,0.79,637.0,343.0,147.0,700.0,5,0.1,1
35,0.98,514.5,294.0,110.25,700.0,4,0.25,2
36,0.98,514.5,294.0,110.25,700.0,5,0.4,2
37,0.79,637.0,343.0,147.0,700.0,4,0.1,1
38,0.9,563.5,318.5,122.5,700.0,4,0.4,2
39,0.71,710.5,269.5,220.5,350.0,4,0.1,1
40,0.98,514.5,294.0,110.25,700.0,4,0.25,5
41,0.74,686.0,245.0,220.5,350.0,2,0.25,4
42,0.71,710.5,269.5,220.5,350.0,4,0.0,0
43,0.86,588.0,294.0,147.0,700.0,5,0.4,3
44,0.69,735.0,294.0,220.5,350.0,3,0.0,0
45,0.71,710.5,269.5,220.5,350.0,5,0.0,0
46,0.66,759.5,318.5,220.5,350.0,5,0.0,0
47,0.71,710.5,269.5,220.5,350.0,3,0.1,1
48,0.86,588.0,294.0,147.0,700.0,5,0.25,1
49,0.9,563.5,318.5,122.5,700.0,5,0.25,5
50,0.9,563.5,318.5,122.5,700.0,3,0.4,3
51,0.66,759.5,318.5,220.5,350.0,2,0.25,5
52,0.66,759.5,318.5,220.5,350.0,5,0.25,2
53,0.79,637.0,343.0,147.0,700.0,5,0.25,4
54,0.71,710.5,269.5,220.5,350.0,5,0.25,5
55,0.64,784.0,343.0,220.5,350.0,4,0.1,4
56,0.74,686.0,245.0,220.5,350.0,3,0.25,2
57,0.82,612.5,318.5,147.0,700.0,4,0.25,5
58,0.76,661.5,416.5,122.5,700.0,2,0.4,4
59,0.76,661.5,416.5,122.5,700.0,2,0.25,3
60,0.69,735.0,294.0,220.5,350.0,4,0.4,5
61,0.62,808.5,367.5,220.5,350.0,2,0.4,5
62,0.66,759.5,318.5,220.5,350.0,5,0.25,5
63,0.82,612.5,318.5,147.0,700.0,4,0.1,5
64,0.98,514.5,294.0,110.25,700.0,5,0.25,5
65,0.79,637.0,343.0,147.0,700.0,5,0.1,4
66,0.79,637.0,343.0,147.0,700.0,4,0.1,4
67,0.66,759.5,318.5,220.5,350.0,2,0.1,1
68,0.62,808.5,367.5,220.5,350.0,5,0.1,4
69,0.74,686.0,245.0,220.5,350.0,3,0.25,3
70,0.9,563.5,318.5,122.5,700.0,4,0.1,1
71,0.98,514.5,294.0,110.25,700.0,2,0.4,5
72,0.69,735.0,294.0,220.5,350.0,2,0.25,5
73,0.82,612.5,318.5,147.0,700.0,3,0.1,2
74,0.86,588.0,294.0,147.0,700.0,5,0.4,2
75,0.74,686.0,245.0,220.5,350.0,4,0.25,2
76,0.82,612.5,318.5,147.0,700.0,4,0.4,5
77,0.82,612.5,318.5,147.0,700.0,2,0.25,3
78,0.98,514.5,294.0,110.25,700.0,2,0.4,1
79,0.86,588.0,294.0,147.0,700.0,4,0.0,0
80,0.98,514.5,294.0,110.25,700.0,2,0.1,4
81,0.79,637.0,343.0,147.0,700.0,2,0.25,4
82,0.71,710.5,269.5,220.5,350.0,4,0.1,3
83,0.62,808.5,367.5,220.5,350.0,2,0.25,3
84,0.66,759.5,318.5,220.5,350.0,3,0.1,3
85,0.71,710.5,269.5,220.5,350.0,2,0.4,5
86,0.86,588.0,294.0,147.0,700.0,5,0.1,3
87,0.76,661.5,416.5,122.5,700.0,3,0.25,1
88,0.79,637.0,343.0,147.0,700.0,3,0.1,1
89,0.64,784.0,343.0,220.5,350.0,5,0.25,1
90,0.64,784.0,343.0,220.5,350.0,3,0.1,2
91,0.82,612.5,318.5,147.0,700.0,4,0.25,2
92,0.69,735.0,294.0,220.5,350.0,3,0.1,1
93,0.66,759.5,318.5,220.5,350.0,2,0.25,4
94,0.76,661.5,416.5,122.5,700.0,3,0.25,3
95,0.66,759.5,318.5,220.5,350.0,4,0.25,4
96,0.86,588.0,294.0,147.0,700.0,4,0.1,5
97,0.86,588.0,294.0,147.0,700.0,4,0.25,5
98,0.71,710.5,269.5,220.5,350.0,2,0.1,4
99,0.71,710.5,269.5,220.5,350.0,2,0.1,1
100,0.76,661.5,416.5,122.5,700.0,2,0.4,1
101,0.98,514.5,294.0,110.25,700.0,4,0.25,1
102,0.74,686.0,245.0,220.5,350.0,2,0.1,1
103,0.9,563.5,318.5,122.5,700.0,2,0.1,5
104,0.86,588.0,294.0,147.0,700.0,4,0.25,3
105,0.62,808.5,367.5,220.5,350.0,2,0.4,2
106,0.82,612.5,318.5,147.0,700.0,5,0.1,1
107,0.62,808.5,367.5,220.5,350.0,2,0.4,4
108,0.69,735.0,294.0,220.5,350.0,5,0.4,3
109,0.74,686.0,245.0,220.5,350.0,4,0.25,1
110,0.76,661.5,416.5,122.5,700.0,4,0.1,2
111,0.86,588.0,294.0,147.0,700.0,2,0.4,5
112,0.98,514.5,294.0,110.25,700.0,3,0.1,1
113,0.66,759.5,318.5,220.5,350.0,4,0.4,3
